0,0,0.929597
0,0,0.927884
0,0,0.860505
0,0,0.742962
0,0,0.971858
0,0,0.933844
0,0,0.887878
0,0,0.955279
0,0,0.890915
0,0,0.938131
0,0,0.929016
0,0,0.945674
0,0,0.618586
0,0,0.926217
0,0,0.940455
0,0,0.890023
0,0,0.941835
0,0,0.963256
0,0,0.970445
0,0,0.825222
0,0,0.808345
0,0,0.914739
0,0,0.763761
0,0,0.793001
0,0,0.910096
0,0,0.738051
0,0,0.804688
0,0,0.693358
0,0,0.837355
0,0,0.934003
0,0,0.907555
0,0,0.959197
0,0,0.927354
0,0,0.801993
0,0,0.965405
0,0,0.941308
0,0,0.946897
0,0,0.718037
0,0,0.814397
0,0,0.838865
0,0,0.916085
0,0,0.959764
0,0,0.906157
0,0,0.952198
0,0,0.982867
0,0,0.804418
0,0,0.908251
0,0,0.886635
0,0,0.899936
0,0,0.891481
0,0,0.837682
0,0,0.937321
0,0,0.731168
0,0,0.772131
0,0,0.868947
0,0,0.923976
0,0,0.685872
0,0,0.897378
0,0,0.96189
0,0,0.902593
0,0,0.988253
0,0,0.975547
0,0,0.950521
0,0,0.923678
0,0,0.772009
0,0,0.942516
0,0,0.972783
0,0,0.802192
0,0,0.966095
0,0,0.973593
0,0,0.972392
0,0,0.946249
0,0,0.970403
0,0,0.986786
0,0,0.920438
0,0,0.817466
0,0,0.971444
0,0,0.961208
0,0,0.91769
0,0,0.966116
0,0,0.806265
0,0,0.973069
0,0,0.953757
0,0,0.676048
0,0,0.820863
0,0,0.860174
0,0,0.897646
0,0,0.920341
0,0,0.979009
0,0,0.840834
0,0,0.63077
0,0,0.506834
0,0,0.587912
0,0,0.951749
0,0,0.38716
0,0,0.944746
0,0,0.720634
0,0,0.340612
0,0,0.847118
0,0,0.971485
1,1,0.807291
1,1,0.966369
1,1,0.985447
1,1,0.0424079
1,3,0.109473
1,1,0.929588
1,1,0.979247
1,1,0.872684
1,1,0.971665
1,1,0.837068
1,1,0.572736
1,1,0.995616
1,0,0.00491053
1,1,0.170954
1,1,0.934737
1,1,0.976933
1,1,0.934753
1,1,0.910036
1,1,0.9119
1,1,0.991517
1,1,0.96385
1,1,0.486719
1,1,0.954023
3,3,0.998957
3,3,0.960959
3,3,0.922453
3,3,0.987316
3,3,0.16012
3,3,0.981462
3,3,0.0763385
3,3,0.997321
3,3,0.992079
3,3,0.990798
3,3,0.953643
3,3,0.99492
3,3,0.996415
3,3,0.862154
3,3,0.94578
3,3,0.996662
3,3,0.997187
3,3,0.978002
3,3,0.948689
3,3,0.9973
3,3,0.993723
3,3,0.382012
3,3,0.998342
3,3,0.843849
5,5,0.992106
5,5,0.997941
5,5,0.8466
5,5,0.922407
5,5,0.20782
5,5,0.43495
5,5,0.0391271
5,3,0.00291626
5,3,0.00357634
5,3,0.00140524
5,3,0.00808693
5,3,0.00208638
5,5,0.912302
99,0,0.17172
99,0,0.0981454
99,0,0.495617
99,0,0.0494614
99,1,0.0164007
99,3,0.0334351
99,3,0.0343723
99,3,0.957795
99,3,0.328092
99,3,0.0913143
99,3,0.0649988
99,3,0.531153
99,3,0.0823229
99,3,0.541997
99,3,0.617688
99,3,0.194355
99,3,0.350043
99,3,0.563497
99,3,0.00488038
99,0,0.731226
99,0,0.272495
99,3,0.0048748
99,0,0.571571
99,3,0.00560188
99,3,0.00206081
99,3,0.00296114
99,0,0.0411561
99,0,0.00740373
99,1,0.0396958
99,0,0.140425
99,3,0.0806965
99,1,0.0178303
99,3,0.0114145
99,1,0.032316
99,1,0.0231087
99,3,0.0150304
99,0,0.0165306
99,3,0.00206236
99,0,0.185962
99,1,0.0993696
99,0,0.0128882
99,0,0.0101079
99,3,0.0174236
99,3,0.00751364
99,3,0.036917
99,3,0.0141825
99,3,0.00651684
99,3,0.00172091
99,1,0.00511206
99,3,0.00206236
99,3,0.00173829
99,0,0.365392
99,0,0.550897
99,0,0.46127
99,3,0.08255
99,3,0.38384
99,3,0.291792
99,3,0.447507
99,3,0.0576872
99,3,0.514071
99,3,0.216512
99,3,0.0559172
99,3,0.564861
99,3,0.0288019
99,3,0.119694
99,3,0.863752
99,3,0.983442
99,3,0.0219417
99,3,0.441134
99,3,0.490869
99,3,0.52482
99,3,0.114074
99,3,0.267527
99,3,0.86855
99,3,0.796598
99,3,0.543505
99,3,0.631979
99,3,0.572327
99,3,0.340233
99,3,0.090599
99,3,0.268797
99,3,0.944566
99,3,0.499439
99,3,0.0209037
99,3,0.0925404
99,3,0.995697
99,3,0.48551
99,3,0.801452
99,3,0.849484
99,3,0.233848
99,3,0.0522751
99,3,0.755733
99,3,0.659545
99,3,0.751375
99,3,0.765241
99,3,0.424837
99,3,0.15689
99,3,0.0455728
99,3,0.236011
99,3,0.456826
99,3,0.188818
99,3,0.576386
99,3,0.110637
99,3,0.00818704
99,3,0.659545
99,3,0.335657
99,3,0.0385838
99,3,0.555032
99,3,0.109276
99,3,0.145517
99,3,0.393126
99,3,0.0617343
99,3,0.0225386
99,3,0.14125
99,3,0.936801
99,3,0.779134
99,3,0.691447
99,3,0.0490371
99,3,0.334519
99,0,0.0459332
99,3,0.0672496
99,3,0.99399
99,3,0.0409116
99,3,0.560549
99,3,0.0636891
99,3,0.155922
99,3,0.396762
99,3,0.138782
99,3,0.779062
99,3,0.529035
99,0,0.0126687
99,3,0.00689691
99,0,0.179549
99,0,0.317435
99,0,0.152632
99,0,0.063659
99,3,0.00235762
99,0,0.337029
99,3,0.00370295
99,3,0.0064999
99,3,0.00256316
99,0,0.839913
99,3,0.23101
99,3,0.246835
99,3,0.710048
99,3,0.798317
99,3,0.529683
99,3,0.389293
99,3,0.762876
99,0,0.328741
99,3,0.366627
99,3,0.869441
99,3,0.607744
99,3,0.100262
99,3,0.360964
99,3,0.913059
99,3,0.875584
99,3,0.751674
99,3,0.0278431
99,3,0.0426463
99,3,0.233831
99,3,0.824775
99,3,0.194688
